latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
43.06846,-80.85828,307.0,0.6,0.53,2026-09-02,644,N20,VIIRS,n,2.0NRT,289.98,1.72,N
43.0717,-80.85646,304.7,0.6,0.53,2026-09-02,644,N20,VIIRS,n,2.0NRT,290.27,1.31,N
43.08109,-77.38014,300.8,0.41,0.45,2026-09-02,644,N20,VIIRS,n,2.0NRT,288.46,1.1,N
42.96553,-81.87223,298.66,0.59,0.7,2026-09-03,627,N20,VIIRS,n,2.0NRT,287.62,0.53,N
44.0549,-77.12467,300.26,0.35,0.56,2026-09-03,627,N20,VIIRS,n,2.0NRT,286.6,0.88,N
42.80116,-80.10499,320.23,0.59,0.53,2026-09-03,805,N20,VIIRS,n,2.0NRT,288.89,4.42,N
42.804,-80.09593,308.83,0.59,0.53,2026-09-03,805,N20,VIIRS,n,2.0NRT,289.15,2.49,N
42.80577,-80.10281,310.35,0.59,0.53,2026-09-03,805,N20,VIIRS,n,2.0NRT,288.59,2.49,N
42.81321,-80.0915,309.2,0.59,0.53,2026-09-03,805,N20,VIIRS,n,2.0NRT,289.07,1.84,N
42.815,-80.09843,303.04,0.59,0.53,2026-09-03,805,N20,VIIRS,n,2.0NRT,288.41,1.84,N
42.81618,-81.32679,302.25,0.52,0.5,2026-09-03,805,N20,VIIRS,n,2.0NRT,289.8,0.95,N
42.81949,-81.3251,301.35,0.52,0.5,2026-09-03,805,N20,VIIRS,n,2.0NRT,289.53,0.8,N
42.96512,-81.87105,302.92,0.48,0.48,2026-09-03,805,N20,VIIRS,n,2.0NRT,289.37,1.19,N
43.07087,-80.85639,303.26,0.54,0.51,2026-09-03,805,N20,VIIRS,n,2.0NRT,287.39,0.74,N
43.26921,-79.80801,330.93,0.6,0.53,2026-09-03,805,N20,VIIRS,n,2.0NRT,289.25,6.79,N
43.27198,-79.79873,311.65,0.6,0.53,2026-09-03,805,N20,VIIRS,n,2.0NRT,288.0,1.37,N
43.27659,-79.79645,299.1,0.6,0.53,2026-09-03,805,N20,VIIRS,n,2.0NRT,286.72,1.37,N
43.87836,-78.70215,297.91,0.32,0.55,2026-09-03,805,N20,VIIRS,n,2.0NRT,285.93,0.64,N
42.80272,-80.10315,325.76,0.4,0.44,2026-09-03,1749,N20,VIIRS,n,2.0NRT,294.04,2.7,D
42.80377,-80.09839,328.52,0.4,0.44,2026-09-03,1749,N20,VIIRS,n,2.0NRT,294.92,5.71,D
44.5657,-81.15496,328.42,0.41,0.45,2026-09-03,1749,N20,VIIRS,n,2.0NRT,274.49,5.87,D
44.58737,-80.63214,327.3,0.39,0.44,2026-09-03,1749,N20,VIIRS,n,2.0NRT,292.71,1.94,D
44.05483,-77.12243,295.35,0.5,0.41,2026-09-02,729,N21,VIIRS,n,2.0NRT,277.79,0.83,N
43.0815,-77.38088,306.2,0.51,0.41,2026-09-02,731,N21,VIIRS,n,2.0NRT,286.8,1.38,N
42.8021,-80.10117,312.29,0.4,0.37,2026-09-03,709,N21,VIIRS,n,2.0NRT,289.9,1.79,N
42.80476,-80.09547,308.91,0.4,0.37,2026-09-03,709,N21,VIIRS,n,2.0NRT,291.31,2.01,N
42.80544,-80.10031,317.6,0.4,0.37,2026-09-03,709,N21,VIIRS,n,2.0NRT,290.74,1.74,N
42.81592,-81.32642,313.88,0.42,0.38,2026-09-03,709,N21,VIIRS,n,2.0NRT,291.02,1.54,N
42.81748,-81.32431,315.38,0.42,0.38,2026-09-03,709,N21,VIIRS,n,2.0NRT,290.75,1.42,N
42.96469,-81.87096,310.79,0.44,0.39,2026-09-03,709,N21,VIIRS,n,2.0NRT,290.72,1.79,N
43.06946,-80.85876,305.3,0.42,0.37,2026-09-03,709,N21,VIIRS,n,2.0NRT,290.43,1.19,N
43.10212,-80.89619,301.15,0.42,0.37,2026-09-03,709,N21,VIIRS,n,2.0NRT,290.37,0.57,N
43.49073,-79.62434,306.8,0.4,0.37,2026-09-03,709,N21,VIIRS,n,2.0NRT,289.96,1.05,N
43.8554,-78.91139,303.78,0.39,0.36,2026-09-03,709,N21,VIIRS,n,2.0NRT,289.51,0.98,N
43.86593,-79.50186,304.89,0.4,0.37,2026-09-03,709,N21,VIIRS,n,2.0NRT,288.17,0.71,N
43.87869,-78.69922,302.44,0.39,0.36,2026-09-03,709,N21,VIIRS,n,2.0NRT,289.66,0.82,N
